ID,ID_UU_Center,KommuneNr,KommuneNavn,Adresse,LokalBy,Postnr,Bynavn,Telefon,Email,Hjemmeside,EANnr,Notat,RetAf,Rettet,Uaktuel
"1","1","101","Københavns Kommune","Rådhuset","","1599","København·V","","info@of.kk.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"2","2","147","Frederiksberg Kommune","Smallegade 1","","2000","Frederiksberg","","raadhuset@frederiksberg.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"3","5","151","Ballerup Kommune","Hold-an Vej 7","","2750","Ballerup","","balkom@balk.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"4","3","153","Brøndby Kommune","Park Allé 160\, Postboks 178","","2605","Brøndby","","brondby-kom@brondby-kom.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"5","6","155","Dragør Kommune","Kirkevej 7","","2791","Dragør","","dragoer@dragoer.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"6","7","157","Gentofte Kommune","Bernstorffsvej 161","","2920","Charlottenlund","","gentofte@gentofte.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"7","7","159","Gladsaxe Kommune","Rådhus Allé","","2860","Søborg","","kommunen@gladsaxe.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"8","5","161","Glostrup Kommune","Rådhusparken 2","","2600","Glostrup","","glostrup.kommune@glostrup.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"9","7","163","Herlev Kommune","Herlev Bygade 90","","2730","Herlev","","herlev@herlev.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"10","5","165","Albertslund Kommune","Nordmarks Alle 1","","2620","Albertslund","","albertslund@albertslund.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"11","3","167","Hvidovre Kommune","Hvidovrevej 278","","2650","Hvidovre","","hvidovre@hvidovre.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
"12","5","169","Høje-Taastrup Kommune","Bygaden 2","","2630","Taastrup","","kommune@htk.dk",\N,"",\N,"SYSTEM","2015-04-24 11:24:45","0"
